record_id,entity_id,entity_name,entity_first_name,committee_name,entity_type,office_name,office_id,office_type_id,party_name,party_id,cash_balance,income,expense,ie_support,ie_opposition,bme_for,bme_against,committee_status,registration_date,termination_date,committee_address,mailing_address,phone,email,chairman,treasurer,candidate,designee,is_primary_record,record_source,record_date,created_at
5751,201200214,"Yee, Kimberly",,Kimberly Yee for Arizona,Candidate (not participating in Clean Elections),State Senator - District No. 20,3120,,Republican,30,0.00,45618.22,55275.58,29635.06,1400.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5749,201000499,"Yee, Kimberly",,Kimberly Yee 2010,Candidate (not participating in Clean Elections),State Representative - District 10,3210,,Republican,30,0.00,53993.00,51742.14,24656.05,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5748,101898,"Yee, Kimberly",,Kimberly Yee for Superintendent of Public Instruction,Candidate (not participating in Clean Elections),Superintendent of Public Instruction,2040,,,,161464.94,162006.72,541.78,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5746,201200295,"Yarbrough, Steven B",,Yarbrough/Senate/12,Candidate (not participating in Clean Elections),State Senator - District No. 17,3117,,Republican,30,0.00,41155.28,25440.95,28188.22,145.60,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5745,201600187,"Yarbrough, Steve",,Yarbrough/House,Candidate (not participating in Clean Elections),State Representative - District 17,3217,,Republican,30,23174.93,4920.45,62142.92,0.00,0.00,0.00,0.00,,,,,,,,,,,,false,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5738,200693315,"Yarbrough, Steve",,RE-ELECT STEVE YARBROUGH,Candidate (not participating in Clean Elections),State Representative - District 21,3221,,Republican,30,0.00,32838.44,32838.44,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5743,201400701,"Yarbrough, Steve",,Yarbrough/Senate,Candidate (not participating in Clean Elections),State Senator - District No. 17,3117,,Republican,30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5741,201400273,"Yarbrough, Steve",,Yarbrough/Senate,Candidate (not participating in Clean Elections),State Senator - District No. 17,3117,,Republican,30,0.00,59164.05,34555.58,8999.95,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5744,201600187,"Yarbrough, Steve",,Yarbrough/House,Candidate (not participating in Clean Elections),State Senator - District No. 17,3117,,Republican,30,23174.93,158100.29,59249.13,2333.34,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5736,200291993,"Yarbrough, Steve",,YARBROUGH 2002,Candidate (not participating in Clean Elections),State Representative - District 21,3221,,Republican,30,0.00,30130.00,30130.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5737,200493058,"Yarbrough, Steve",,YARBROUGH 2004,Candidate (not participating in Clean Elections),State Representative - District 21,3221,,Republican,30,0.00,20847.27,20847.27,0.00,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
5740,201000231,"Yarbrough, Steve",,Yarbrough/Senate,Candidate (not participating in Clean Elections),State Senator - District No. 21,3121,,Republican,30,0.00,31344.00,23758.08,98.65,0.00,0.00,0.00,,,,,,,,,,,,true,seethemoney.az.gov API,2025-08-06,2025-08-07 04:02:30.477079
